x_sample [mm],y_sample [mm],theta1 [rad],theta2 [rad],Fx [N],Fy [N]
-280.0,-200.0,0.4550064124408171,-0.4992543528990325,-0.2338222311252073,0.4786984063391377
-280.0,-190.0,0.4458074250451127,-0.4362199250475354,-0.21308138038334828,0.480230491882728
-280.0,-180.0,0.4402480522249035,-0.37864865202846554,-0.19264049367143227,0.4811596826397936
-280.0,-170.0,0.4379683538728263,-0.32582461734242574,-0.17246119657109296,0.4815414163675507
-280.0,-160.0,0.4387076792888318,-0.27722923869449545,-0.15251924877931822,0.48141757212610387
-280.0,-150.0,0.4422712455572677,-0.23247815974141273,-0.13280034529417573,0.48082124359240597
-280.0,-140.0,0.44850912020208744,-0.19128200530845674,-0.11329750219713768,0.4797798203300026
-280.0,-130.0,0.4573022834259808,-0.15342074815660545,-0.09400932689443786,0.4783170982275824
-280.0,-120.0,0.46855296074640673,-0.11872625799270953,-0.07493880072909524,0.4764547996875307
-280.0,-110.0,0.48217766075338453,-0.08706998498593821,-0.056092363924242626,0.47421371417261887
-280.0,-100.0,0.49810200892799283,-0.05835398400923153,-0.037479178681140445,0.4716145790424498
-280.0,-90.0,0.5162568336778208,-0.032504182497370415,-0.019110494869625513,0.46867876950619164
-280.0,-80.0,0.5365751730481998,-0.009465200124093576,-0.000999072216299794,0.46542883650962863
-280.0,-70.0,0.5589899980359916,0.010803726018923765,0.01684136790802981,0.4618889134055789
-280.0,-60.0,0.5834325263014852,0.02833200304340111,0.03439667457726537,0.45808500169512834
-280.0,-50.0,0.6098310473927566,0.04314032338739038,0.051652786815553894,0.45404514050277756
-280.0,-40.0,0.638110208146065,0.05524281214546578,0.06859623650474689,0.449799462357821
-280.0,-30.0,0.6681907211766438,0.06464876285954801,0.08521462504238485,0.4453801383973985
-280.0,-20.0,0.6999894645484179,0.07136401390100477,0.10149706025776413,0.44082121858984047
-280.0,-10.0,0.7334199398720318,0.07539199730244106,0.11743453806851838,0.43615837635959
-280.0,0.0,0.7683930516941055,0.07673447854461402,0.13302025317635668,0.43142857142857144
-270.0,-240.0,0.46361189895268096,-0.718010299887039,-0.31452801531700175,0.45727139379229476
-270.0,-230.0,0.43731628792141297,-0.6277763987106925,-0.29241007202164665,0.46165067938896764
-270.0,-220.0,0.41723795140487674,-0.5480323973374193,-0.27087083362572084,0.46503117260126453
-270.0,-210.0,0.40211989589426356,-0.4763159672371846,-0.2497568212456846,0.46759654643854154
-270.0,-200.0,0.3911823220358044,-0.41108389925119626,-0.2289751019528964,0.469462887442299
